,ntrials,n_iters,mse,sens_sim,bias_sim,sigma_sim,pc_sim,pe_sim,sens_fit,bias_fit,sigma_fit,pc_fit,pe_fit
102,500,200,0.12692671300220876,10,-5,0.05,1,-1,9.126592989149916,-4.119733702123834,0.01904548011092406,0.7832132871321296,-0.9889795421499012
103,5000,200,0.12057367776403582,10,-5,0.05,1,-1,10.052783321613084,-5.042764048136032,0.4936949272112206,0.9814115590869238,-0.8701687184825692
104,500,500,0.1506766191979281,10,-5,0.05,1,-1,8.79104542015726,-4.224624641315045,3.9770579280582514e-05,0.8082136149674102,-0.8691989739736203
105,5000,500,0.1194576225706024,10,-5,0.05,1,-1,10.0239559766573,-5.018003196489959,0.5298056237115323,0.9781848531576229,-0.8606083820970272
106,500,1000,0.12536896661693653,10,-5,0.05,1,-1,8.81136537027876,-4.486295181289576,7.0266377322945615e-06,0.7961708037998368,-0.8464565347114216
107,5000,1000,0.12488817457667785,10,-5,0.05,1,-1,9.986135104065395,-5.023785216642628,0.14061603413809937,0.9745240764745083,-0.85797057896682
108,500,200,0.0719750376721067,10,-5,0.05,1,-1,10.388836383822282,-4.847020531404281,0.020236285251812494,1.2169520616631275,-0.8391385130951567
109,5000,200,0.08070468568023345,10,-5,0.05,1,-1,10.969623149440281,-5.52131002969037,0.5669163516173272,1.0920805206077069,-1.2666472584973407
110,500,500,0.14053616003023506,10,-5,0.05,1,-1,10.482665836433508,-4.819162942479206,7.23754004601474e-05,1.171935198758574,-0.8558236618511834
111,5000,500,0.0914692380609896,10,-5,0.05,1,-1,10.799544157722625,-5.38466624678891,0.33461885978935174,1.0746637959376455,-1.1696599985727754
112,500,1000,0.27362663321871705,10,-5,0.05,1,-1,10.52178019712511,-4.661417324106627,1.0469542743388117e-05,1.1752862956698107,-0.845448439927815
113,5000,1000,0.10908203677743596,10,-5,0.05,1,-1,10.337815050996392,-5.296012893786401,0.056567392142349696,1.0309306148972057,-1.114938779558941
114,500,200,0.6011890790591838,10,-5,0.05,1,-1,10.455531504520488,-4.256020413867824,0.033972043379729304,0.9362463755067044,-1.585195846492988
115,5000,200,0.09867747260672738,10,-5,0.05,1,-1,10.08533401890559,-5.009103822342066,0.48743052142550697,0.9951249585855243,-1.0713958276058562
116,500,500,0.2740729582431447,10,-5,0.05,1,-1,10.194177706731637,-4.707492834022821,0.00016603103309302097,0.9157331929759682,-1.4885730621711086
117,5000,500,0.09064455142722805,10,-5,0.05,1,-1,10.03503873052735,-4.981620501625096,0.23237371547057503,0.9907082906761044,-1.1064144588604865
118,500,1000,0.10776181147829804,10,-5,0.05,1,-1,9.969103009921774,-4.834403817287904,1.538643867176521e-05,0.8968239983200074,-1.4500934134795818
119,5000,1000,0.09923842197218843,10,-5,0.05,1,-1,9.970673233134391,-4.946291552442725,0.18148870014884122,0.9845107451043897,-1.1070075593066888
120,500,200,0.05367959291838327,10,-5,0.05,1,-1,9.679854867817918,-4.838323939801461,0.012958395716294178,0.8334576619183266,-1.4179980930744
121,5000,200,0.13271263574120307,10,-5,0.05,1,-1,10.739244107273157,-5.460795127424213,0.45957965445475735,1.0316397389845355,-1.1355651708588206
122,500,500,0.05369380478353752,10,-5,0.05,1,-1,9.582227633608275,-4.803518049211305,1.1258924964485352e-05,0.8252716934735396,-1.3985383682203494
123,5000,500,0.12388628189196003,10,-5,0.05,1,-1,10.511279371708815,-5.326430914785593,0.3911476789984865,1.0173485116682408,-1.1250071807251552
124,500,1000,0.05366682873085177,10,-5,0.05,1,-1,9.573781711270009,-4.800048048759611,8.199201035994815e-06,0.8251849093574557,-1.399725236513564
125,5000,1000,0.1253436650521223,10,-5,0.05,1,-1,10.165178689942207,-5.0937811465914,0.16181743653416722,0.9790045065234401,-1.0788176859065153
126,500,200,0.15546628675897134,10,-5,0.05,1,-1,8.138072864653052,-4.582136675851516,0.011185754076951306,0.7889242010496319,-0.37739953462484743
127,5000,200,0.09662267266531203,10,-5,0.05,1,-1,10.083230023279674,-5.0611519271924275,0.4038217943775285,1.0302589340501573,-0.9898839318725411
128,500,500,0.249830626446942,10,-5,0.05,1,-1,8.247556593255137,-4.716800931002456,4.809497253315152e-05,0.795222806294324,-0.2967487953771711
129,5000,500,0.09900121398132317,10,-5,0.05,1,-1,10.134438318948126,-4.920510570464112,0.2279754796125298,1.0350965408588375,-0.9896749572981636
130,500,1000,0.1667696873110593,10,-5,0.05,1,-1,8.154572057579243,-4.448847042869522,1.7295183540535065e-05,0.7954190411371858,-0.3305261174371228
131,5000,1000,0.07476417147578679,10,-5,0.05,1,-1,10.071618232902331,-4.8623736355634515,0.08996991453238314,1.0235891814622138,-0.9895186163058758
132,500,200,0.16071818151427614,10,-5,0.05,1,-1,11.371285587725197,-5.203349079068488,0.030552217182052182,1.2636670353841084,-1.3425005631520026
133,5000,200,0.12452156897422728,10,-5,0.05,1,-1,9.8976268201068,-4.705051931225848,0.5946387194321872,0.9694064355824019,-1.0442387610915975
134,500,500,0.05160909322914663,10,-5,0.05,1,-1,11.137929584244507,-5.544930129504188,3.539067156286762e-05,1.2389340233392196,-1.31535216836025
