,ntrials,n_iters,mse,sens_sim,bias_sim,sigma_sim,pc_sim,pe_sim,sens_fit,bias_fit,sigma_fit,pc_fit,pe_fit
67,5000,200,0.16877770134223935,10,-5,0.05,1,-1,11.64742907588029,-5.67889177905475,0.34599713538886123,1.1435305657521966,-1.2985264206492735
68,500,500,2.655186859810359,10,-5,0.05,1,-1,10.289707403955793,-3.605919687346954,6.686250699927755e-05,0.8430935075406647,-1.226271217458638
69,5000,500,0.16774362193562634,10,-5,0.05,1,-1,10.361411785379143,-4.985951452524135,0.2793544912000682,1.0270524579046652,-1.0270086546474633
70,500,1000,0.6075882814832214,10,-5,0.05,1,-1,9.866234329447481,-4.236906932308446,1.2107751640015066e-05,0.8279020061587578,-1.124233643356605
71,5000,1000,0.4043887533552895,10,-5,0.05,1,-1,10.344602265180141,-4.6598449130179,0.051307425487304104,1.0225020962771787,-0.9963205227935586
72,500,200,0.46271927043588484,10,-5,0.05,1,-1,9.193087134375508,-4.114532628435866,0.02734734277489499,0.7200632671365252,-0.7517024288177796
73,5000,200,0.07907760993015218,10,-5,0.05,1,-1,10.808236042910048,-5.330028841734134,0.5918159023704085,1.016506356830732,-0.9920254350966211
74,500,500,0.15269494094703437,10,-5,0.05,1,-1,9.112201339071543,-4.166960921240223,0.00010699870548011963,0.697824778800565,-0.7337242164097407
75,5000,500,0.19219667990099912,10,-5,0.05,1,-1,9.786956461697958,-5.202854380483823,0.31548464827081835,0.9209680742339922,-1.008336430094078
76,500,1000,0.6267777312423589,10,-5,0.05,1,-1,9.160652464025945,-3.8190405836174226,9.141667117610344e-06,0.7320359193992528,-0.7118090683170727
77,5000,1000,0.09212278829954978,10,-5,0.05,1,-1,9.693511394340161,-4.811901668159624,0.04039256160314371,0.9150881117444244,-1.00920532379847
78,500,200,9.866160411067167,10,-5,0.05,1,-1,11.446382653799914,-2.8207246501047734,0.0057040675240602225,1.0836122095060894,-1.0423198528722057
79,5000,200,0.13835174596758051,10,-5,0.05,1,-1,10.375360046581283,-5.41222478194027,0.6418664433725977,1.0161309348011724,-0.9012955091038009
80,500,500,14.085833715473907,10,-5,0.05,1,-1,11.4178674331012,-2.094130258520563,1.5085670582144013e-05,1.0414176029666435,-1.013188030627521
81,5000,500,0.40451065432627054,10,-5,0.05,1,-1,10.067440934180592,-5.556566536798759,0.3187629836358543,0.9858523374609875,-0.9614027132116427
82,500,1000,22.17730315405941,10,-5,0.05,1,-1,12.144553866398452,-1.6233195502312883,1.2233646897967051e-05,1.1351502840688852,-1.0791369972664167
83,5000,1000,0.3076021459350187,10,-5,0.05,1,-1,10.075154509108973,-5.46943297694613,0.10007180495403457,0.9891832627540578,-0.9539219903975106
84,500,200,0.07405265951171991,10,-5,0.05,1,-1,11.040054684937207,-5.915266788527703,0.03127514837674411,0.8711923543821053,-0.8851762265068297
85,5000,200,0.13675477370240394,10,-5,0.05,1,-1,12.14890006284665,-6.077396936593344,0.35206325853333814,1.158728272067154,-1.5122303205625969
86,500,500,0.06441405434134193,10,-5,0.05,1,-1,10.843052701755964,-5.512805579062519,6.88072683440337e-05,0.8638192917069691,-0.7488905909592282
87,5000,500,0.12031581229248195,10,-5,0.05,1,-1,10.672466559112813,-5.180074975821846,0.09634538359693784,1.0166476170059355,-1.218692708946311
88,500,1000,0.5085610032727348,10,-5,0.05,1,-1,10.877480617356781,-4.895942612316348,2.277587436584525e-05,0.8695565342254934,-0.7987010297365935
89,5000,1000,0.09677387006701955,10,-5,0.05,1,-1,10.461718648627809,-5.073228273886634,0.041894743427044925,1.0023042034583003,-1.204168056351361
90,500,200,0.9115956633315594,10,-5,0.05,1,-1,10.251789650653176,-6.1252702675253845,0.028927562258149287,0.6574733636505192,-1.3062573019141048
91,5000,200,0.10224260933279672,10,-5,0.05,1,-1,10.50042450542227,-5.162588812562514,0.3075319951263265,1.0348838802771445,-1.026929452307762
92,500,500,1.460006599183947,10,-5,0.05,1,-1,10.006179259295376,-6.620895201533113,0.00010986019265272553,0.637741200643476,-1.2556567832678684
93,5000,500,0.1307130733323497,10,-5,0.05,1,-1,10.29225328112323,-5.307182652288214,0.13947416809795538,1.0164788802468872,-0.9646579846287646
94,500,1000,0.7097936512783348,10,-5,0.05,1,-1,10.065844831892683,-5.99115195681591,1.5933936333652334e-05,0.5991624110546879,-1.2210111132873638
